Water_Detected,Hands_in_Water,Soap_Score,Expected_Water_Detection,Expected_Water_Location,Expected_Soap_Score
256.0,0.0,1.0,401421.3500000007,0.0,0.0,1.
257.0,0.0,0.0,296721.3500000007,0.0,0.0,1.
258.0,0.0,0.0,431828.3500000007,0.0,0.0,1.
259.0,0.0,0.0,425265.3500000007,0.0,0.0,1.
260.0,0.0,1.0,530393.3500000007,0.0,0.0,1.
261.0,0.0,1.0,450110.3500000007,0.0,0.0,1.
262.0,0.0,1.0,420630.3500000007,0.0,0.0,1.
263.0,0.0,1.0,418063.3500000007,0.0,0.0,1.
264.0,0.0,1.0,412683.3500000007,0.0,0.0,1.
265.0,0.0,1.0,435445.3500000007,0.0,0.0,1.
266.0,0.0,1.0,461182.3500000007,0.0,0.0,1.
267.0,0.0,1.0,446727.3500000007,0.0,0.0,1.
268.0,0.0,1.0,425647.3500000007,0.0,0.0,1.
269.0,0.0,0.0,388981.3500000007,0.0,0.0,1.
270.0,0.0,1.0,440224.3500000007,0.0,0.0,1.
271.0,0.0,1.0,451651.3500000007,0.0,0.0,1.
272.0,0.0,1.0,464376.3500000007,0.0,0.0,1.
273.0,0.0,1.0,461530.3500000007,0.0,0.0,1.
274.0,0.0,1.0,408596.3500000007,0.0,0.0,1.
275.0,0.0,0.0,348032.3500000007,0.0,0.0,1.
276.0,0.0,0.0,284231.3500000007,0.0,0.0,1.
277.0,0.0,1.0,328065.3500000007,0.0,0.0,1.
278.0,0.0,0.0,349640.3500000007,0.0,0.0,1.
279.0,0.0,0.0,345873.3500000007,0.0,0.0,1.
280.0,0.0,0.0,388508.3500000007,0.0,0.0,1.
281.0,0.0,0.0,294459.3500000007,0.0,0.0,1.
282.0,0.0,1.0,308987.3500000007,0.0,0.0,1.
283.0,0.0,1.0,326025.3500000007,0.0,0.0,1.
